freq,unit,sector,na_item,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,S14_S15,DIR_S14_S15,AT	83.53 	83.33 	83.22 	84.59 	84.80 	83.49 	83.05 	83.46 	87.03 	87.20 	80.70 	: 
A,PC,S14_S15,DIR_S14_S15,BE	91.57 	93.00 	97.36 	99.61 	100.49 	101.24 	101.89 	104.07 	106.06 	106.29 	103.72 p	: 
A,PC,S14_S15,DIR_S14_S15,CH	166.45 	170.74 	174.48 	179.38 	182.77 	186.87 	189.51 	188.88 	190.91 	196.47 p	192.48 p	: 
A,PC,S14_S15,DIR_S14_S15,CY	185.96 	196.79 	195.60 	189.67 	173.84 	156.61 	142.95 	128.66 	127.18 	120.02 	112.18 p	: 
A,PC,S14_S15,DIR_S14_S15,CZ	53.73 	55.16 	53.77 	55.44 	57.11 	56.96 	56.67 	56.54 	57.36 	56.68 	52.87 	: 
A,PC,S14_S15,DIR_S14_S15,DE	85.68 	84.97 	83.94 	83.55 	83.33 	83.30 	82.23 	83.98 p	86.66 p	88.44 p	86.20 p	81.91 p
A,PC,S14_S15,DIR_S14_S15,DK	266.15 	259.63 	272.84 	249.63 	224.61 	218.75 	212.16 	213.31 	216.42 	206.45 	174.08 	172.18 
A,PC,S14_S15,DIR_S14_S15,EE	77.64 	72.25 	69.85 	69.29 	69.59 	69.32 	67.33 	67.52 	70.36 	71.00 	71.41 	: 
A,PC,S14_S15,DIR_S14_S15,EL	98.39 	100.61 	96.25 	93.53 	91.47 	88.50 	89.69 	82.65 	83.70 p	79.74 p	68.61 p	: 
A,PC,S14_S15,DIR_S14_S15,ES	128.06 	121.41 	115.80 	107.93 	102.98 	98.74 	95.75 	90.88 	92.04 	88.35 	84.78 	: 
A,PC,S14_S15,DIR_S14_S15,FI	104.31 	104.19 	106.04 	108.04 	110.56 	112.78 	114.01 	114.49 	117.97 	118.26 	117.02 	: 
A,PC,S14_S15,DIR_S14_S15,FR	85.37 	87.56 	87.86 	89.52 	90.89 	93.33 	96.35 	98.99 	101.93 	103.04 p	102.84 p	: 
A,PC,S14_S15,DIR_S14_S15,HR	63.48 	62.38 	62.67 	59.90 	54.99 	54.05 	53.82 	54.61 	55.76 	53.91 	49.02 p	: 
A,PC,S14_S15,DIR_S14_S15,HU	52.93 	47.67 	44.78 	37.85 	35.40 	32.50 	30.46 	32.04 	35.56 	36.16 	31.93 p	: 
A,PC,S14_S15,DIR_S14_S15,IE	191.98 	187.54 	174.00 	156.57 	142.89 	131.24 	126.45 	118.30 	105.46 	97.35 	91.20 	: 
A,PC,S14_S15,DIR_S14_S15,IS	173.60 	173.54 	175.96 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,S14_S15,DIR_S14_S15,IT	64.63 	63.24 	62.30 	61.59 	61.23 	60.80 	60.88 	61.82 	63.91 	63.40 	61.71 	: 
A,PC,S14_S15,DIR_S14_S15,LT	36.94 	35.06 	34.59 	35.57 	35.16 	35.94 	36.75 	36.46 	35.79 	36.24 	35.54 	: 
A,PC,S14_S15,DIR_S14_S15,LU	149.75 	146.66 	153.21 	159.12 	165.01 	165.40 	173.14 	172.67 b	171.48 	181.66 	181.31 	: 
A,PC,S14_S15,DIR_S14_S15,LV	53.60 	48.23 	42.76 	39.25 	36.58 	34.59 	32.79 	31.40 	30.84 	30.47 	28.55 	: 
A,PC,S14_S15,DIR_S14_S15,NL	235.90 	230.27 	225.12 	225.75 	222.44 	223.81 	217.26 	208.99 	209.26 	206.64 	197.41 	184.90 
A,PC,S14_S15,DIR_S14_S15,NO	183.17 	186.44 	188.62 	186.44 	195.41 	199.79 	204.21 	204.62 	210.92 	206.25 	210.38 	: 
A,PC,S14_S15,DIR_S14_S15,PL	53.75 	55.61 	56.13 	58.33 	58.28 	56.44 	57.27 	56.85 	54.33 	55.02 	46.35 	: 
A,PC,S14_S15,DIR_S14_S15,PT	122.84 	119.34 	115.45 	109.37 	103.20 	100.07 	95.80 	91.97 	95.03 	93.36 	88.85 p	82.44 p
A,PC,S14_S15,DIR_S14_S15,SE	140.76 	143.48 	145.19 	151.26 	155.70 	160.97 	160.47 	160.31 	172.14 	170.54 	166.70 	155.76 
A,PC,S14_S15,DIR_S14_S15,SI	48.59 	46.85 	45.62 	45.12 	44.58 	44.90 	44.69 	44.53 	43.00 	42.17 	41.29 	: 
A,PC,S14_S15,DIR_S14_S15,SK	46.65 	50.20 	54.95 	58.15 	63.38 	67.28 	67.53 	69.71 	71.63 	73.69 	71.75 	: 
A,PC,S14_S15,DIR_S14_S15,TR	26.35 p	27.99 p	26.67 p	25.50 p	25.27 p	24.35 p	22.20 p	22.43 p	27.19 p	23.11 p	16.85 p	: 
A,PC,S14_S15,DIR_S14_S15,UK	125.36 	122.79 	120.12 	118.73 	121.35 	124.36 	123.20 	122.56 	: 	: 	: 	: 
