Titre :;Crédits à l'habitat aux ménages, Flux de contrats nouveaux
Code série :;MIR1.M.FR.B.A2C.A.B.A.2251.EUR.N
Unité :;Euro (EUR)
Magnitude :;Millions (6)
Méthode d'observation :;Fin de période (E)
Fév 2023;13877
Jan 2023;15708
Déc 2022;19133
Nov 2022;17968
Oct 2022;18201
Sep 2022;19612
Aoû 2022;24113
Jul 2022;27413
Jun 2022;27962
Mai 2022;27803
Avr 2022;26277
Mar 2022;27034
Fév 2022;21939
Jan 2022;22674
Déc 2021;27153
Nov 2021;22690
Oct 2021;23989
Sep 2021;24198
Aoû 2021;26094
Jul 2021;31737
Jun 2021;31448
Mai 2021;25751
Avr 2021;24552
Mar 2021;23385
Fév 2021;18043
Jan 2021;17809
Déc 2020;25536
Nov 2020;21517
Oct 2020;23813
Sep 2020;23054
Aoû 2020;21034
Jul 2020;23378
Jun 2020;21983
Mai 2020;21533
Avr 2020;23287
Mar 2020;20838
Fév 2020;23857
Jan 2020;24202
Déc 2019;28234
Nov 2019;22800
Oct 2019;25462
Sep 2019;21817
Aoû 2019;23149
Jul 2019;28944
Jun 2019;22068
Mai 2019;18821
Avr 2019;19541
Mar 2019;18542
Fév 2019;17171
Jan 2019;18514
Déc 2018;20515
Nov 2018;17357
Oct 2018;19018
Sep 2018;16538
Aoû 2018;19754
Jul 2018;22982
Jun 2018;19928
Mai 2018;17191
Avr 2018;16737
Mar 2018;17150
Fév 2018;14640
Jan 2018;17352
Déc 2017;19749
Nov 2017;16668
Oct 2017;15251
Sep 2017;14950
Aoû 2017;17781
Jul 2017;24486
Jun 2017;26092
Mai 2017;26965
Avr 2017;27738
Mar 2017;34221
Fév 2017;32818
Jan 2017;39062
Déc 2016;38294
Nov 2016;30054
Oct 2016;26923
Sep 2016;27456
Aoû 2016;27872
Jul 2016;26555
Jun 2016;23978
Mai 2016;18022
Avr 2016;15919
Mar 2016;15292
Fév 2016;14154
Jan 2016;13004
Déc 2015;18549
Nov 2015;17173
Oct 2015;18781
Sep 2015;22385
Aoû 2015;22640
Jul 2015;26142
Jun 2015;21720
Mai 2015;15367
Avr 2015;16895
Mar 2015;15864
Fév 2015;12924
Jan 2015;12247
Déc 2014;13207
Nov 2014;9389
Oct 2014;9740
Sep 2014;9593
Aoû 2014;10219
Jul 2014;12442
Jun 2014;10446
Mai 2014;8746
Avr 2014;9390
Mar 2014;8698
Fév 2014;10184
Jan 2014;10004
Déc 2013;13577
Nov 2013;11303
Oct 2013;14115
Sep 2013;12955
Aoû 2013;14605
Jul 2013;17011
Jun 2013;13595
Mai 2013;12634
Avr 2013;12379
Mar 2013;10509
Fév 2013;8372
Jan 2013;9665
Déc 2012;9618
Nov 2012;7095
Oct 2012;8133
Sep 2012;6987
Aoû 2012;8360
Jul 2012;9782
Jun 2012;8784
Mai 2012;7158
Avr 2012;6905
Mar 2012;7608
Fév 2012;6341
Jan 2012;11831
Déc 2011;14081
Nov 2011;9020
Oct 2011;8624
Sep 2011;9140
Aoû 2011;10222
Jul 2011;11717
Jun 2011;12513
Mai 2011;13118
Avr 2011;12442
Mar 2011;15288
Fév 2011;13459
Jan 2011;14580
Déc 2010;23221
Nov 2010;14947
Oct 2010;12606
Sep 2010;13193
Aoû 2010;13677
Jul 2010;16297
Jun 2010;14148
