Titre :;Taux effectif moyen des prêts immobiliers à taux fixe accordés aux particuliers, moins de 10 ans (Série arrêtée);Taux effectif moyen des prêts immobiliers à taux fixe accordés aux particuliers, entre 10 ans et 20 ans (Série arrêtée);Taux effectif moyen des prêts immobiliers à taux fixe accordés aux particuliers, plus de 20 ans (Série arrêtée);Taux effectif moyen au cours des trois mois précédents des prêts relais accordés aux particuliers;Taux effectif moyen au cours des trois mois précédents des prêts immobiliers à taux variables accordés aux particuliers
Code série :;MIR1.Q.FR.R.A22FRF.Q.R.A.2254FR.EUR.N;MIR1.Q.FR.R.A22FRF.R.R.A.2254FR.EUR.N;MIR1.Q.FR.R.A22FRF.S.R.A.2254FR.EUR.N;MIR1.Q.FR.R.A22FRR.A.C.A.2254FR.EUR.N;MIR1.Q.FR.R.A22FRV.A.C.A.2254FR.EUR.N
Unité :;Pourcent par an (PCPA);Pourcent par an (PCPA);Pourcent par an (PCPA);Pourcent par an (PCPA);Pourcent par an (PCPA)
Magnitude :;Unités (0);Unités (0);Unités (0);Unités (0);Unités (0)
Méthode d'observation :;Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E)
Source :;Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2)
T4 2022;2,56;2,65;2,68;2,82;2,51
T3 2022;2,27;2,27;2,29;2,55;2,19
T2 2022;1,95;1,95;1,93;2,24;1,84
T1 2022;1,88;1,82;1,8;2,15;1,74
T4 2021;1,83;1,8;1,81;2,16;1,75
T3 2021;1,82;1,79;1,81;2,16;1,72
T2 2021;1,85;1,83;1,86;2,2;1,82
T1 2021;1,89;1,89;1,95;2,29;1,9
T4 2020;1,92;1,93;2;2,23;1,89
T3 2020;1,81;1,89;2,01;2,26;1,81
T2 2020;1,79;1,8;1,93;2,26;1,71
T1 2020;1,81;1,8;1,88;2,24;1,7
T4 2019;1,95;1,88;1,96;2,19;1,77
T3 2019;2;2;2,08;2,24;1,81
T2 2019;2,04;2,09;2,23;2,37;1,85
T1 2019;2,05;2,08;2,22;2,4;1,84
T4 2018;2,09;2,12;2,26;2,43;1,82
T3 2018;2,12;2,14;2,31;2,44;1,84
T2 2018;2,2;2,21;2,39;2,46;1,94
T1 2018;2,25;2,27;2,46;2,42;2,02
T4 2017;2,32;2,33;2,52;2,51;2,12
T3 2017;2,29;2,3;2,51;2,55;2,17
T2 2017;2,34;2,32;2,44;2,5;2,12
T1 2017;2,47;2,36;2,4;2,44;2,06
T4 2016;2,55;2,51;2,53;2,57;2,12
T3 2016;;;;2,78;2,34
T2 2016;;;;3,02;2,52
T1 2016;;;;3,19;2,66
T4 2015;;;;3,19;2,73
T3 2015;;;;3,14;2,72
T2 2015;;;;3,4;2,82
T1 2015;;;;3,55;3,07
T4 2014;;;;3,69;3,11
T3 2014;;;;3,89;3,4
T2 2014;;;;3,95;3,53
T1 2014;;;;4,04;3,48
T4 2013;;;;3,92;3,38
T3 2013;;;;3,97;3,34
T2 2013;;;;4,08;3,51
T1 2013;;;;4,16;3,76
T4 2012;;;;4,34;4,03
T3 2012;;;;4,42;4,23
T2 2012;;;;4,74;4,36
T1 2012;;;;4,86;4,41
T4 2011;;;;4,82;4,37
T3 2011;;;;4,71;4,21
T2 2011;;;;4,55;4
T1 2011;;;;4,49;3,76
T4 2010;;;;4,41;3,72
T3 2010;;;;4,7;3,79
T2 2010;;;;4,47;4,01
T1 2010;;;;4,69;4,29
T4 2009;;;;4,8;4,44
T3 2009;;;;4,94;4,59
T2 2009;;;;5,27;5,27
T1 2009;;;;6,04;5,95
T4 2008;;;;5,79;5,85
T3 2008;;;;5,65;5,6
T2 2008;;;;5,43;5,39
T1 2008;;;;5,44;5,37
T4 2007;;;;5,25;5,29
T3 2007;;;;4,9;5,04
T2 2007;;;;4,86;4,9
T1 2007;;;;4,76;4,68
T4 2006;;;;4,66;4,59
T3 2006;;;;4,52;4,3
T2 2006;;;;4,36;4,18
T1 2006;;;;4,26;4,11
T4 2005;;;;4,22;4,02
T3 2005;;;;4,29;4,11
T2 2005;;;;4,44;4,15
T1 2005;;;;4,65;4,27
T4 2004;;;;4,92;4,38
T3 2004;;;;5,01;4,39
T2 2004;;;;5,04;4,41
T1 2004;;;;5,3;4,49
T4 2003;;;;5,28;4,58
T3 2003;;;;5,34;4,8
T2 2003;;;;5,72;5,17
T1 2003;;;;5,82;5,28
T4 2002;;;;5,97;5,54
T3 2002;;;;6,21;5,99
T2 2002;;;;6,33;6,04
T1 2002;;;;6,3;6
T4 2001;;;;6,46;6,25
T3 2001;;;;6,55;6,53
T2 2001;;;;7,23;6,94
T1 2001;;;;7,21;6,81
T4 2000;;;;7,42;6,95
T3 2000;;;;7,19;6,78
T2 2000;;;;6,89;6,17
T1 2000;;;;6,74;6,05
T4 1999;;;;6,25;5,73
T3 1999;;;;5,84;5,34
T2 1999;;;;6,48;5,52
T1 1999;;;;6,62;5,9
T4 1998;;;;6,85;5,93
T3 1998;;;;7,12;6,14
T2 1998;;;;7,23;6,25
T1 1998;;;;7,28;6,34
T4 1997;;;;6,96;6,32
T3 1997;;;;7,87;6,61
T2 1997;;;;7,89;6,64
T1 1997;;;;8,18;6,8
T4 1996;;;;8,78;7,31
T3 1996;;;;9,24;7,43
T2 1996;;;;9,34;7,97
T1 1996;;;;9,4;8,29
T4 1995;;;;10,07;8,57
T3 1995;;;;10,34;8,77
T2 1995;;;;10,49;9,25
T1 1995;;;;10,48;9,16
T4 1994;;;;9,9;9,13
T3 1994;;;;9,68;8,8
T2 1994;;;;9,55;9,04
T1 1994;;;;10,05;9,34
T4 1993;;;;10,94;9,68
T3 1993;;;;11,17;10,09
T2 1993;;;;12,15;11,01
T1 1993;;;;12,09;11,1
T4 1992;;;;11,93;11,11
T3 1992;;;;12,06;11,36
T2 1992;;;;11,77;11,21
