Titre :;Taux des crédits nouveaux à l'habitat (hors négociations) aux particuliers
Code série :;MIR1.M.FR.B.A22HR.A.R.A.2254U6.EUR.N
Unité :;Pourcent (PC)
Magnitude :;Unités (0)
Méthode d'observation :;Fin de période (E)
Source :;Banque de France (FR2)
Oct 2023;3,87
Sep 2023;3,73
Aoû 2023;3,62
Jul 2023;3,43
Jun 2023;3,25
Mai 2023;3,08
Avr 2023;2,92
Mar 2023;2,72
Fév 2023;2,51
Jan 2023;2,31
Déc 2022;2,12
Nov 2022;1,96
Oct 2022;1,81
Sep 2022;1,7
Aoû 2022;1,59
Jul 2022;1,45
Jun 2022;1,34
Mai 2022;1,25
Avr 2022;1,16
Mar 2022;1,11
Fév 2022;1,09
Jan 2022;1,07
Déc 2021;1,06
Nov 2021;1,07
Oct 2021;1,08
Sep 2021;1,09
Aoû 2021;1,09
Jul 2021;1,08
Jun 2021;1,09
Mai 2021;1,1
Avr 2021;1,11
Mar 2021;1,14
Fév 2021;1,18
Jan 2021;1,2
Déc 2020;1,21
Nov 2020;1,24
Oct 2020;1,26
Sep 2020;1,28
Aoû 2020;1,29
Jul 2020;1,27
Jun 2020;1,22
Mai 2020;1,17
Avr 2020;1,16
Mar 2020;1,17
Fév 2020;1,17
Jan 2020;1,15
Déc 2019;1,14
Nov 2019;1,16
Oct 2019;1,19
Sep 2019;1,24
Aoû 2019;1,27
Jul 2019;1,31
Jun 2019;1,36
Mai 2019;1,41
Avr 2019;1,46
Mar 2019;1,48
Fév 2019;1,49
Jan 2019;1,48
Déc 2018;1,46
Nov 2018;1,47
Oct 2018;1,48
Sep 2018;1,49
Aoû 2018;1,49
Jul 2018;1,5
Jun 2018;1,51
Mai 2018;1,52
Avr 2018;1,53
Mar 2018;1,53
Fév 2018;1,56
Jan 2018;1,58
Déc 2017;1,57
Nov 2017;1,6
Oct 2017;1,62
Sep 2017;1,61
Aoû 2017;1,62
Jul 2017;1,59
Jun 2017;1,58
Mai 2017;1,56
Avr 2017;1,52
Mar 2017;1,48
Fév 2017;1,44
Jan 2017;1,38
Déc 2016;1,38
Nov 2016;1,43
Oct 2016;1,48
Sep 2016;1,58
Aoû 2016;1,62
Jul 2016;1,67
Jun 2016;1,75
Mai 2016;1,88
Avr 2016;2,02
Mar 2016;2,12
Fév 2016;2,2
Jan 2016;2,27
Déc 2015;2,27
Nov 2015;2,29
Oct 2015;2,23
Sep 2015;2,17
Aoû 2015;2,1
Jul 2015;2,08
Jun 2015;2,13
Mai 2015;2,18
Avr 2015;2,24
Mar 2015;2,34
Fév 2015;2,42
Jan 2015;2,49
Déc 2014;2,55
Nov 2014;-
Oct 2014;-
Sep 2014;-
Aoû 2014;-
Jul 2014;-
Jun 2014;-
Mai 2014;-
Avr 2014;-
Mar 2014;-
Fév 2014;-
Jan 2014;-
Déc 2013;-
Nov 2013;-
Oct 2013;-
Sep 2013;-
Aoû 2013;-
Jul 2013;-
Jun 2013;-
Mai 2013;-
Avr 2013;-
Mar 2013;-
Fév 2013;-
Jan 2013;-
Déc 2012;-
Nov 2012;-
Oct 2012;-
Sep 2012;-
Aoû 2012;-
Jul 2012;-
Jun 2012;-
Mai 2012;-
Avr 2012;-
Mar 2012;-
Fév 2012;-
Jan 2012;-
Déc 2011;-
Nov 2011;-
Oct 2011;-
Sep 2011;-
Aoû 2011;-
Jul 2011;-
Jun 2011;-
Mai 2011;-
Avr 2011;-
Mar 2011;-
Fév 2011;-
Jan 2011;-
Déc 2010;-
Nov 2010;-
Oct 2010;-
Sep 2010;-
Aoû 2010;-
Jul 2010;-
Jun 2010;-
Mai 2010;-
Avr 2010;-
Mar 2010;-
Fév 2010;-
Jan 2010;-
Déc 2009;-
Nov 2009;-
Oct 2009;-
Sep 2009;-
Aoû 2009;-
Jul 2009;-
Jun 2009;-
Mai 2009;-
Avr 2009;-
Mar 2009;-
Fév 2009;-
Jan 2009;-
Déc 2008;-
Nov 2008;-
Oct 2008;-
Sep 2008;-
Aoû 2008;-
Jul 2008;-
Jun 2008;-
Mai 2008;-
Avr 2008;-
Mar 2008;-
Fév 2008;-
Jan 2008;-
Déc 2007;-
Nov 2007;-
Oct 2007;-
Sep 2007;-
Aoû 2007;-
Jul 2007;-
Jun 2007;-
Mai 2007;-
Avr 2007;-
Mar 2007;-
Fév 2007;-
Jan 2007;-
Déc 2006;-
Nov 2006;-
Oct 2006;-
Sep 2006;-
Aoû 2006;-
Jul 2006;-
Jun 2006;-
Mai 2006;-
Avr 2006;-
Mar 2006;-
Fév 2006;-
Jan 2006;-
Déc 2005;-
Nov 2005;-
Oct 2005;-
Sep 2005;-
Aoû 2005;-
Jul 2005;-
Jun 2005;-
Mai 2005;-
Avr 2005;-
Mar 2005;-
Fév 2005;-
Jan 2005;-
Déc 2004;-
Nov 2004;-
Oct 2004;-
Sep 2004;-
Aoû 2004;-
Jul 2004;-
Jun 2004;-
Mai 2004;-
Avr 2004;-
Mar 2004;-
Fév 2004;-
Jan 2004;-
Déc 2003;-
Nov 2003;-
Oct 2003;-
Sep 2003;-
Aoû 2003;-
Jul 2003;-
Jun 2003;-
Mai 2003;-
Avr 2003;-
Mar 2003;-
Fév 2003;-
Jan 2003;-
