Table;Position;Nom;Description;DVF+;DV3F v1;DV3F v2;DV3F v3;DV3F v4;Contrainte;Correspondance FF
acheteur_vendeur;1;idachvend;identifiant de clef primaire de la table acheteur_vendeur;;X;X;X;X;PK;
acheteur_vendeur;2;idavinvar;identifiant invariant de la table acheteur_vendeur;;X;X;X;X;U;
acheteur_vendeur;3;ffnomprop;nom de l'acheteur ou du vendeur (anonymisé pour les personnes physiques);;X;X;X;X;;ddenom
acheteur_vendeur;4;ffsiren;code SIREN;;X;X;X;X;;dsiren
acheteur_vendeur;5;ffcatpm;catégorie de personne morale;;X;X;X;;;codnom
acheteur_vendeur;6;ffcatpm2;catégorie de personne morale améliorée;;;X;X;;;
acheteur_vendeur;7;ffcatjur;catégorie juridique;;X;X;X;X;;dforme
acheteur_vendeur;8;persmorale;personnalité juridique;;X;X;X;X;;
acheteur_vendeur;9;codtyppro;code de typologie de propriétaire (typologie Cerema);;X;X;X;X;;catpro2
acheteur_vendeur;10;codtyppro2;code de typologie fine de propriétaire (3e niveau typologie Cerema);;;;;X;;catpro3
acheteur_vendeur;11;identite;code identité de la structure;;X;X;X;X;;
acheteur_vendeur;12;nbidassoc;nombre d’identifiants de la table associés au code identité de la structure;;X;X;X;X;;
acheteur_vendeur;13;nbroleop;nombre de mutations de type 'promotion';;X;X;X;X;;
acheteur_vendeur;14;nbroleoa;nombre de mutations de type 'aménagement';;X;X;X;X;;
acheteur_vendeur;15;nbroleor;nombre de mutations de type 'réhabilitation';;X;;;;;
acheteur_vendeur;16;nbroleos;nombre de mutations de type 'logement social';;X;X;X;X;;
acheteur_vendeur;17;nbroleon;nombre de mutations de type 'SAFER';;X;;;;;
acheteur_vendeur;18;nbrolena;nombre de mutations de type 'structure agricole'';;X;X;X;X;;
acheteur_vendeur;19;nbrolenf;nombre de mutations de type 'structure forestière';;X;X;X;X;;
acheteur_vendeur;20;nbvente;nombre de ventes réalisées;;X;X;X;X;;
acheteur_vendeur;21;nbachat;nombre d'achats réalisés;;X;X;X;X;;
