Table;Position;Nom;Description;DVF+;DV3F v1;DV3F v2;DV3F v3;DV3F v4;Contrainte;Correspondance FF
disposition_parcelle;1;iddispopar;identifiant pour clef primaire;X;X;X;X;X;PK;
disposition_parcelle;2;iddispo;identifiant de la table disposition;X;X;X;X;X;U;
disposition_parcelle;3;idparcelle;identifiant de la table parcelle;X;X;X;X;X;U;
disposition_parcelle;4;idmutation;identifiant de clef primaire de la table mutation;X;X;X;X;X;;
disposition_parcelle;5;idpar;identifiant de la parcelle (idem Fichiers fonciers);X;X;X;X;X;;
disposition_parcelle;6;coddep;code du département;X;X;X;X;X;C;
disposition_parcelle;7;codcomm;code insee de la commune;X;X;X;X;X;;
disposition_parcelle;8;prefsect;prefixe de section de la parcelle;X;X;X;X;X;;
disposition_parcelle;9;nosect;numéro de section de la parcelle;X;X;X;X;X;;
disposition_parcelle;10;noplan;numéro de la parcelle;X;X;X;X;X;;
disposition_parcelle;11;datemut;date de signature du document (acte de vente);X;X;X;X;X;;
disposition_parcelle;12;anneemut;annee de signature du document;X;X;X;X;X;;
disposition_parcelle;13;moismut;mois de signature du document;X;X;X;X;X;;
disposition_parcelle;14;parcvendue;Vrai si la parcelle fait partie de la vente;X;X;X;X;X;;
disposition_parcelle;15;nbmutjour;nombre de mutations de la parcelle au cours de la journée;X;X;X;X;X;;
disposition_parcelle;16;nbmutannee;nombre de mutations de la parcelle au cours de l'année calendaire;X;X;X;X;X;;
disposition_parcelle;17;datemutpre;date de la précédente mutation de la parcelle (date antérieure);X;X;X;X;X;;
disposition_parcelle;18;l_idmutpre;identifiants des mutations précédentes de la parcelle ayant eu lieu à la date de mutation précédente (datemutpre);X;X;X;X;X;;
disposition_parcelle;19;datemutsui;date de la mutation suivante de la parcelle (date postérieure);X;X;X;X;X;;
disposition_parcelle;20;l_idmutsui;identifiants des mutations suivantes de la parcelle ayant eu lieu à la date de mutation suivante (datemutsui);X;X;X;X;X;;
disposition_parcelle;21;dcnt01;surface de suf de type 01 ayant muté;X;X;X;X;X;;
disposition_parcelle;22;dcnt02;surface de suf de type 02  ayant muté;X;X;X;X;X;;
disposition_parcelle;23;dcnt03;surface de suf de type 03 ayant muté;X;X;X;X;X;;
disposition_parcelle;24;dcnt04;surface de suf de type 04 ayant muté;X;X;X;X;X;;
