Table;Position;Nom;Description;DVF+;DV3F v1;DV3F v2;DV3F v3;DV3F v4;Contrainte;Correspondance FF
local;1;iddispoloc;identifiant de clef primaire de la table local;X;X;X;X;X;PK;
local;2;iddispopar;identifiant de la table disposition_parcelle;X;X;X;X;X;U;
local;3;idpar;identifiant de la parcelle (idem Fichiers fonciers);X;X;X;X;X;;
local;4;idmutation;identifiant de clef primaire de la table mutation;X;X;X;X;X;;
local;5;idloc;identifiant du local (Fichier Fonciers);X;X;X;X;X;;
local;6;identloc;identifiant du local;X;X;X;X;X;U;
local;7;codtyploc;code du type de local;X;X;X;X;X;;
local;8;libtyploc;libellé du type de local;X;X;X;X;X;;
local;9;nbpprinc;nombre de pièces principales;X;X;X;X;X;;
local;10;sbati;surface réelle attachée à l'identifiant local;X;X;X;X;X;;
local;11;coddep;code du département;X;X;X;X;X;C;
local;12;datemut;date de signature du document (acte de vente);X;X;X;X;X;;
local;13;anneemut;annee de signature du document;X;X;X;X;X;;
local;14;moismut;mois de signature du document;X;X;X;X;X;;
local;15;nbmutjour;nombre de mutations du local au cours de la journée;X;X;X;X;X;;
local;16;nbmutannee;nombre de mutations du local au cours de l'année calendaire;X;X;X;X;X;;
local;17;datemutpre;date de la précédente mutation du local;X;X;X;X;X;;
local;18;l_idmutpre;identifiants des mutations précédentes du local ayant eu lieu à la date de mutation précédente (datemutpre);X;X;X;X;X;;
local;19;datemutsui;date de la mutation suivante du local;X;X;X;X;X;;
local;20;l_idmutsui;identifiants des mutations suivantes du local ayant eu lieu à la date de mutation suivante (datemutsui);X;X;X;X;X;;
local;21;ffidcpv;identifiant du compte communal des vendeurs (issue des Fichiers fonciers);;X;X;X;X;;
local;22;fiabilitev;code de fiabilité de rapatriement des vendeurs depuis les Fichiers fonciers (0 à 3);;X;X;X;X;;
local;23;l_idv;identifiants de la table acheteur_vendeur qui correspondent aux vendeurs;;X;X;X;X;;
local;24;nbdroiprov;nombre de droits de type 'propriétaire' associés au compte communal des vendeurs;;X;X;X;X;;
local;25;l_nomv;noms des vendeurs (anonymisés pour les personnes physiques);;X;X;X;X;;
local;26;nbdroigesv;nombre de droits de type 'gestionnaire' associés au compte communal des vendeurs;;X;X;X;X;;
local;27;l_nomgesv;noms des gestionnaires du compte communal des vendeurs;;X;X;X;X;;
local;28;codtypprov;code de typologie de propriétaire pour les vendeurs (typologie Cerema);;X;X;X;X;;catpro2
local;29;ffidcpa;identifiant du compte communal de l'acheteur (issue des Fichiers fonciers);;X;X;X;X;;
local;30;fiabilitea;code de fiabilité de rapatriement des acheteurs depuis les Fichiers fonciers (0 à 4);;X;X;X;X;;
local;31;l_ida;identifiants de la table acheteur_vendeur qui correspondent aux acheteurs;;X;X;X;X;;
local;32;nbdroiproa;nombre de droits de type 'propriétaire' associés au compte communal des acheteurs;;X;X;X;X;;
local;33;l_noma;noms des acheteurs (anonymisés pour les personnes physiques);;X;X;X;X;;
local;34;nbdroigesa;nombre de droits de type 'gestionnaire' associés au compte communal des acheteurs;;X;X;X;X;;
local;35;l_nomgesa;noms des gestionnaires du compte communal des acheteurs;;X;X;X;X;;
local;36;codtypproa;code de typologie de propriétaire pour lesacheteurs (typologie Cerema);;X;X;X;X;;catpro2
local;37;ffdatemut;date de signature de l'acte dans les Fichiers fonciers;;X;X;X;;;jdatath
local;38;exactffdvf;Vrai si la date de mutation dans DVF correspond avec la date de mutation des Fichiers fonciers;;X;X;X;;;
local;39;ffdatepre;date de mutation précédente dans les Fichiers fonciers;;;;;X;;
local;40;ffancst;année de construction du local;;X;X;X;X;;jannath
local;41;periodecst;période de construction du local;;;;;X;;
local;42;anciennete;ancienneté du local au moment de la mutation;;X;X;X;X;;
local;43;ffidbat;identifiant du bâtiment (issu des Fichiers fonciers);;X;X;X;X;;idbat
local;44;ffetage;niveau de l'étage;;;X;X;X;;dniv
local;45;ffnbetage;étage maximal du bâtiment;;;X;X;X;;dnbniv
local;46;ffcodinsee;code Insee de la commune;;X;X;X;X;;
local;47;ffcommune;libellé de la commune;;X;X;X;X;;
local;48;ffnovoie;numéro de la voie;;X;X;X;X;;
local;49;ffbtq;indice de répétition;;X;X;X;X;;
local;50;ffvoie;libellé de la voie;;X;X;X;X;;
local;51;fftyppdl;type de division en lot;;X;X;X;X;;ctpdl
local;52;ffclascad;classement cadastral du local;;X;X;X;X;;dcapec
local;53;ffvalloc;valeur locative totale retenue pour le local;;X;X;X;X;;dvltrt
local;54;ffcodeval;code d'évaluation du local;;X;X;X;X;;ccoeva
local;55;fflibeval;libellé du code d'évaluation du local;;X;X;X;X;;ccoevatxt
local;56;ffcchgeval;code de nature du changement d'évaluation;;X;X;X;X;;dnatcg
local;57;ffdchgeval;date du changement d'évaluation;;X;X;X;X;;
local;58;stabilitel;code d'évaluation de la stabilité du local (évolution sous le vendeur puis sous l'acheteur);;X;X;X;X;;
local;59;ffctyploc;code du type de local;;X;X;X;X;;dteloc
local;60;ffltyploc;libellé du type de local;;X;X;X;X;;dteloctxt
local;61;ffcnatloc;code de la nature du local;;X;X;X;X;;cconlc
local;62;fflnatloc;libellé de la nature du local;;X;X;X;X;;cconlctxt
local;63;fftypact;catégorie d'activité du local (pour locaux professionnels);;;;;X;;typeact
local;64;ffbureau;Vrai si présence de bureaux (uniquement pour Ile-de-France);;;X;X;X;;
local;65;ffcodnacev;code NACE sous le vendeur (pour locaux professionels);;X;X;X;X;;
local;66;fflibnacev;libellé du code NACE sous le vendeur (pour locaux professionnels);;X;X;X;X;;
local;67;ffcodnacea;code NACE sous l'acheteur (pour locaux professionels);;;X;X;X;;cconac
local;68;fflibnacea;libellé du code NACE sous l'acheteur (pour locaux professionels);;;X;X;X;;cconactxt
local;69;fflochab;Vrai si le local est un local d'habitation au moment de la mutation;;X;X;X;X;;habitat
local;70;fflogsoc;Vrai si le local est un logement social (repéré par exonération);;;X;X;X;;
local;71;fflogrs;Vrai si le local est potentiellement une résidence secondaire sous l'acheteur (non disponible - en cours de consolidation);;;;;X;;
local;72;fflhvacv;Vrai si le local est un logement d'habitation vacant sous le vendeur;;;X;X;X;;
local;73;ffoccv;code d'occupation du local sous le vendeur;;X;X;X;X;;ccthp
local;74;ffocca;code d'occupation du local sous l'acheteur;;X;X;X;X;;ccthp
local;75;ffshab;surface totale des pièces d'habitation;;X;X;X;X;;stoth
local;76;ffsdep;surface totale des pièces type dépendance intégrées ou non au local;;X;X;X;X;;
local;77;ffspro;surface totale des pièces type activité (ou professionnelle);;X;X;X;X;;sprobati
local;78;ffsbati;surface de l'ensemble des pièces du local;;X;X;X;X;;spevtot
local;79;ffnbpsam;nombre de pièces type salle à manger;;X;X;X;X;;dnbsam
local;80;ffnbpcha;nombre de pièces type chambre;;X;X;X;X;;dnbcha
local;81;ffnbpcu8;nombre de pièces type cuisine de moins de 9 m2;;X;X;X;X;;dnbcu8
local;82;ffnbpcu9;nombre de pièces type cuisine d'au moins 9 m2;;X;X;X;X;;dnbcu9
local;83;ffnbpsea;nombre de pièces type salle d'eau;;X;X;X;X;;dnbsea
local;84;ffnbpann;nombre de pièces type annexe;;X;X;X;X;;dnbann
local;85;ffnbpprinc;nombre de pièces principales;;X;X;X;X;;
local;86;ffnbpdep;nombre de pièces annexes;;;X;X;X;;
local;87;ffnbpgarag;nombre de pièces annexes type garage/parking;;X;X;X;X;;nbgarpark
local;88;ffnbpagrem;nombre de pièces annexes type serre/agréement;;X;X;X;X;;nbagrement
local;89;ffnbpterra;nombre de pièces annexes type terrasse;;X;X;X;X;;nbterrasse
local;90;ffnbppisci;nombre de pièces annexes type piscine;;X;X;X;X;;
local;91;ffnbpaut;nombre de pièces annexes type cave/grenier/cellier/remise/etc.;;X;X;X;X;;nbannexe
local;92;ffmatmur;matériaux des gros murs;;;X;X;X;;dmatgmtxt
local;93;ffmattoit;matériaux des toitures;;;X;X;X;;dmattotxt
local;94;ffanref;année du millésime Fichier foncier permettant la caractérisation du local;;X;X;X;X;;
local;95;ffanvend;année du millésime Fichier foncier permettant la caractérisation des vendeurs du local;;X;X;X;X;;
local;96;ffanach;année du millésime Fichier foncier permettant la caractérisation des acheteurs du local;;X;X;X;X;;
local;97;geomloc;géométrie du localisant;;X;X;X;X;;
local;98;srcgeom;source de la géométrie;;X;X;X;X;;
local;99;parcvect;Vrai si la parcelle est vectorisée;;X;X;X;X;;
