Table;Position;Nom;Description;DVF+;DV3F v1;DV3F v2;DV3F v3;DV3F v4;Contrainte;Correspondance FF
mutation;1;idmutation;identifiant de clef primaire de la table mutation;X;X;X;X;X;PK;
mutation;2;idmutinvar;identifiant invariant de la mutation;X;X;X;X;X;;
mutation;3;idopendata;identifiant de mutation;X;;;X;X;;
mutation;4;idnatmut;identifiant de clef primaire de la table ann_nature_mutation;X;X;X;X;X;;
mutation;5;codservch;code du service de conservation des hypothèques;X;X;X;X;X;U;
mutation;6;refdoc;référence d'enregistrement du document (acte de vente);X;X;X;X;X;U;
mutation;7;datemut;date de signature du document (acte de vente);X;X;X;X;X;;
mutation;8;anneemut;annee de signature du document;X;X;X;X;X;;
mutation;9;moismut;mois de signature du document;X;X;X;X;X;;
mutation;10;coddep;code du département;X;X;X;X;X;C;
mutation;11;libnatmut;libellé de la nature de mutation;X;X;X;X;X;;
mutation;12;nbartcgi;nombre d'articles du Code Général des Impôts (CGI) associés à la mutation;X;X;X;X;X;;
mutation;13;l_artcgi;liste des codes d'articles CGI (Code Général des Impôts) associés à la mutation;X;X;X;X;X;;
mutation;14;vefa;vrai si la mutation est une Vente en l'état futur d'achèvement (VEFA);X;X;X;X;X;;
mutation;15;valeurfonc;prix ou évaluation déclarée dans le cadre d'une mutation onéreuse;X;X;X;X;X;;
mutation;16;nbdispo;nombre de dispositions associées à la mutation;X;X;X;X;X;;
mutation;17;nblot;nombre total de lots dans la mutation;X;X;X;X;X;;
mutation;18;nbcomm;nombre de communes concernées par la mutation;X;X;X;X;X;;
mutation;19;l_codinsee;liste des codes INSEE des communes concernées par la mutation;X;X;X;X;X;;
mutation;20;nbsection;nombre de sections concernées par la mutation;X;X;X;X;X;;
mutation;21;l_section;liste des sections concernées par la mutation;X;X;X;X;X;;
mutation;22;nbpar;nombre de parcelles concernées par la mutation;X;X;X;X;X;;
mutation;23;l_idpar;liste des identifiants de parcelles concernées par la mutation (idpar);X;X;X;X;X;;
mutation;24;nbparmut;nombre de parcelles ayant muté;X;X;X;X;X;;
mutation;25;l_idparmut;liste des identifiants de parcelles ayant muté (idpar);X;X;X;X;X;;
mutation;26;nbsuf;nombre de subdivisions fiscales ayant muté;X;X;X;X;X;;
mutation;27;sterr;surface de terrain ayant muté;X;X;X;X;X;;
