id_transaction,date_transaction,prix,departement,id_ville,ville,code_postal,adresse,type_batiment,vefa,n_pieces,surface_habitable,id_parcelle_cadastre,latitude,longitude,surface_dependances,surface_locaux_industriels,surface_terrains_agricoles,surface_terrains_sols,surface_terrains_nature
526673,2019-07-12,100000.0,8,105,CHARLEVILLE-MEZIERES,8000,9B RUE LOUIS BLANC,Maison,True,4,70,08105000AK0911,49.7773772378464,4.7077871702304,{},{},{},{260},{}
2053865,2018-03-19,45000.0,23,87,FRESSELINES,23450,5331  LE BOURG,Maison,True,5,205,23087000BD0050,46.381094516877,1.68638433444951,{},{},{},"{125,234}",{}
185257,2018-04-25,110000.0,5,23,BRIANCON,5100,25 RUE PASTEUR,Appartement,True,2,35,05023000AT0794,44.8909660162517,6.63572700679395,{0},{},{},{},{}
9188164,2018-12-03,210000.0,78,297,GUYANCOURT,78280,6 RUE DE LA LIBERTE,Appartement,True,2,57,78297000AL0083,48.7823348220062,2.04910877611103,{0},{},{},{},{}
772299,2014-08-04,108000.0,6,88,NICE,6200,214 AV DE FABRON,Appartement,True,1,25,06088000NK0154,43.6904116509029,7.21808462186822,{},{},{},{},{}
12402007,2018-08-29,61000.0,59,350,LILLE,59000,6 RUE BRULE MAISON,Appartement,True,1,20,59350000RY0216,50.6258376059044,3.05657475897964,{},{},{},{},{}
8040150,2014-06-04,80000.0,64,483,SAINT-JEAN-DE-LUZ,64500,345 AV NAPOLEON III,Appartement,True,1,19,64483000BS0013,43.4168704937212,-1.62335384084209,{0},{},{},{},{}
12542009,2015-02-02,250000.0,59,524,SAINGHIN-EN-WEPPES,59184,38 RUE DU GEN LECLERC,Maison,True,5,110,59524000AI0040,50.558758096313,2.90729741947154,{0},{},{},"{15,547}",{}
4807458,2018-12-20,320000.0,40,150,LEON,40550,413 RUE DES CHENES LIEGES,Maison,True,5,131,40150000AB0421,43.8745407016295,-1.30648769929797,{},{},{},{1008},{}
12542850,2015-11-23,65000.0,59,104,BOUSSOIS,59168,17 AV HOCHE,Maison,True,4,70,59104000AL0162,50.2888324493501,4.03087057901126,{},{},{},{146},{}
1023994,2019-05-27,140000.0,13,212,MARSEILLE 12EME,13012,5399F AV DES POILUS,Appartement,True,3,65,132128780C0399,43.3142562132927,5.46376130759562,{0},{},{},{},{}
9248842,2017-11-08,110000.0,77,183,LA FERTE SOUS JOUARRE,77260,57 AV FRANKLIN ROOSEVELT,Maison,True,4,60,77183000BD0216,48.9434079040114,3.11947432312343,{},{},{},{654},{}
3009039,2020-10-23,256000.0,31,149,COLOMIERS,31770,29 ALL DU TUCOL,Maison,True,5,88,31149000CM0054,43.6052527441954,1.32277261295007,{},{},{},{344},{}
3586648,2016-10-28,131000.0,33,485,SAINTE-TERRE,33350,650  LES FOSSES EST,Maison,True,4,111,334850000B0703,44.8320266128542,-0.118590763951069,{},{},{},{1913},{}
10056517,2016-06-13,139000.0,80,21,AMIENS,80000,18 RUE DEBAUSSAUX,Maison,True,4,70,80021000BH0024,49.8993049495938,2.28614400907376,{},{},{},{106},{}
8687218,2021-01-05,514000.0,75,115,PARIS 15,75015,2 RUE FIRMIN GILLOT,Appartement,True,2,55,75115000BF0082,48.8330644797439,2.28957405856386,{},{},{},{},{}
5587290,2014-02-08,107000.0,45,279,SAINT-GERMAIN-DES-PRES,45220,11 AV DE SAINT THIBAULT,Maison,True,4,72,452790000D0826,47.9530345126241,2.85221738767319,{},{},{},{1110},{}
8824133,2020-12-16,515000.0,75,113,PARIS 13,75013,25 RUE OUDRY,Appartement,True,3,49,75113000AT0011,48.8369196012535,2.35569752092796,{},{},{},{},{}
8694614,2021-07-23,1243700.0,75,112,PARIS 12,75012,128 RUE DE CHARENTON,Appartement,True,4,95,75112000HA0006,48.845973800423,2.37922939481621,{0},{},{},{},{}
7294873,2020-04-28,131150.0,62,181,BUCQUOY,62116,71 RUE DIERVILLE,Maison,True,4,88,62181000AR0099,50.1431772550149,2.7114935498087,{},{},{},"{1656,200}",{295}
1736696,2016-07-04,75000.0,17,299,ROCHEFORT,17300,1 RUE MAL DE LATTRE DE TASSIGNY,Appartement,True,2,61,17299000AT0366,45.9503660254815,-0.976418530480823,{0},{},{},{},{}
10530863,2017-11-24,38200.0,87,85,LIMOGES,87100,4 RUE JEAN LE BAIL,Appartement,True,1,33,87085000OS0019,45.8388035339626,1.22855524702712,{},{},{},{},{}
11540748,2014-12-29,142100.0,94,33,FONTENAY-SOUS-BOIS,94120,2B RUE GUERIN LEROUX,Appartement,True,2,36,94033000AT0143,48.8501862128799,2.47268122122866,{},{},{},{},{}
10593648,2016-01-29,147000.0,86,194,POITIERS,86000,11 ALL DE CHITRE,Maison,True,6,109,86194000IV0400,46.5738996348515,0.378374143955681,{},{},{},{607},{}
5731866,2020-07-20,26500.0,54,429,PIERREVILLE,54160,2 PTR PETITE RUE,Maison,True,2,60,54429000AB0080,48.5484366929563,6.12132816843839,{},{},{},{56},{}
5415022,2018-03-30,143000.0,49,99,CHOLET,49300,14 SQ DE L'EMILIE ROMAGNE,Maison,True,4,87,49099000EX0413,47.037136749421,-0.867612622002746,{},{},{},{303},{}
8255398,2019-05-10,81000.0,71,586,VIRY,71120,5067  CHAMP NEGU,Maison,True,5,92,715860000E0536,46.466899537334,4.33327112331997,{},{},"{347,248}",{936},{}
9076308,2019-07-05,136000.0,79,329,THOUARS,79100,1B IMP DE LA CROIX THIBAULT,Maison,True,7,133,79329000BP0064,46.9832474192213,-0.22566076837684,{},{},{},{1118},{}
5350279,2019-12-16,156000.0,49,23,BEAUPREAU-EN-MAUGES,49600,7 CHE DE BEL EBAT,Maison,True,5,275,49023151AC1132,47.1775586168949,-1.1122995202876,{},{},{},{303},{}
4845934,2018-12-28,138000.0,44,114,ORVAULT,44700,59 RUE DE SAINT CLOUD,Maison,True,2,45,44114000CK0409,47.2579990601942,-1.59812045556232,{},{},{},{184},{}
11487515,2014-04-23,449000.0,91,312,IGNY,91430,18 RUE HENRI DUBOIS,Maison,True,4,75,91312000AI0485,48.726924954349,2.22254207722188,{},{},{},{422},{}
7877483,2016-05-02,169000.0,69,290,SAINT-PRIEST,69800,4 AV DE LA GARE,Appartement,True,3,69,69290000DI0318,45.6892471712449,4.93551066215373,{0},{},{},{},{}
8393811,2017-09-22,165687.0,72,329,SAVIGNE L EVEQUE,72460,1 IMP DE CHERE,Maison,True,6,120,72329000AK0068,48.0764003587488,0.286300511409894,{},{},{},{998},{}
8890837,2020-06-17,166500.0,77,192,FONTENAY-TRESIGNY,77610,3 AV DU GENERAL LECLERC,Appartement,True,4,76,771920000C0985,48.7072608994836,2.8699363194098,{},{},{},{},{}
9158736,2018-08-07,200000.0,77,514,VILLEPARISIS,77270,172 RUE DES TILLEULS,Appartement,True,3,61,77514000AD0212,48.952023198725,2.61284212960912,{0},{},{},{},{}
4887015,2017-10-19,105050.0,40,240,RENUNG,40270,321 CHE DU COUSTON,Maison,True,4,90,402400000H0332,43.7416356560063,-0.383419100235766,{},{},"{1791,2140}","{1600,495,2600}",{}
3049974,2020-07-31,329000.0,33,433,SAINT LOUBES,33450,24 RUE DU SUISSE,Maison,True,4,120,334330000D1449,44.9103594644388,-0.424027168162087,{},{},{},{918},{}
1645771,2018-01-26,393500.0,17,380,SAINT-PALAIS-SUR-MER,17420,21 RUE DE L OCEAN,Appartement,True,3,73,17380000AC0143,45.6418259913386,-1.08969001482687,"{0,0}",{},{},{},{}
1285463,2016-08-09,1108650.0,13,1,AIX EN PROVENCE,13100,904 CHE DE REPENTANCE,Maison,True,6,198,13001000EC0029,43.5402205673432,5.47920780462986,{},{},{},{1928},{}
7673341,2017-12-19,100000.0,62,100,BEAURAINVILLE,62990,411 RUE DES ALOUETTES,Maison,True,5,84,62100000AD0077,50.4262272992411,1.8911395649347,{},{},{},{303},{}
369784,2021-06-14,107500.0,6,30,LE CANNET,6110,46 AV MAURICE JEANPIERRE,Appartement,True,1,25,06030000AK0414,43.579943269326,7.00644026957954,"{0,0,0}",{},{},{},{}
3013797,2020-03-04,140000.0,31,42,BAGNERES-DE-LUCHON,31110,22 BD DOCTEUR ESTRADERE,Appartement,True,2,55,31042000AK0313,42.7863652200087,0.597280110079084,{},{},{},{},{}
2861571,2021-05-21,356000.0,31,460,ROQUETTES,31120,18 RUE ALPHONSE VILLE,Maison,True,4,114,31460000AI0182,43.4954528052951,1.36632947170421,{0},{},{},{663},{}
5352658,2019-07-12,176000.0,49,381,YZERNAY,49360,1 SQ DE MARIGNY,Maison,True,5,94,49381000AS0520,47.0182310160105,-0.699475282141536,{},{},{},{741},{}
3079225,2020-07-15,105470.0,34,344,LA GRANDE MOTTE,34280,161 ALL DE LA CAMARGUE,Appartement,True,2,30,34344000AX0007,43.5708505892095,4.10430108670723,{0},{},{},{},{}
7122369,2022-06-24,300090.0,62,297,EPERLECQUES,62910,1B RUE DE LA PETITE FERME,Maison,True,6,141,62297000AC0102,50.8068347909218,2.14088886802603,{0},{},{},{780},{}
503871,2019-04-24,123000.0,6,88,NICE,6100,2 AV RENE BOYLESVE,Appartement,True,2,50,06088000EB0093,43.7170138704013,7.25517975000688,{},{},{},{},{}
